epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.568,2.16868,2.01956,1.30584,0.64312,0.49132,0.53207,0.23397,1.86149,1.42503,1.2138,0.000664935,0.000664935,0.000664935
2,55.7863,1.74545,1.20284,1.10793,0.66081,0.53138,0.59405,0.27713,1.7164,1.38444,1.17362,0.00131842,0.00131842,0.00131842
3,82.6874,1.65141,1.10517,1.06464,0.78377,0.64364,0.71783,0.33287,1.66653,1.24232,1.11643,0.0019587,0.0019587,0.0019587
4,109.549,1.60286,1.0441,1.05418,0.67781,0.55052,0.61255,0.30566,1.6124,2.09075,1.12061,0.0019406,0.0019406,0.0019406
5,136.318,1.53466,0.96869,1.02931,0.76985,0.59947,0.68619,0.35235,1.59341,1.07732,1.09835,0.0019208,0.0019208,0.0019208
6,163.159,1.51573,0.9403,1.02221,0.71332,0.6769,0.72394,0.37177,1.59682,1.1084,1.09289,0.001901,0.001901,0.001901
7,189.944,1.48729,0.90221,1.01252,0.78978,0.72227,0.78508,0.37514,1.65961,1.08719,1.09385,0.0018812,0.0018812,0.0018812
8,216.693,1.47488,0.88074,1.00956,0.88626,0.69693,0.81562,0.41267,1.52547,0.96328,1.05195,0.0018614,0.0018614,0.0018614
9,243.564,1.43587,0.85731,0.99751,0.83794,0.72484,0.82469,0.42164,1.49344,0.94889,1.0394,0.0018416,0.0018416,0.0018416
10,270.273,1.43461,0.84411,0.99713,0.82385,0.71963,0.81754,0.42069,1.51316,0.95269,1.07838,0.0018218,0.0018218,0.0018218
11,297.093,1.40566,0.81343,0.98688,0.79654,0.69426,0.7857,0.42191,1.4577,0.94506,1.02688,0.001802,0.001802,0.001802
12,323.951,1.40631,0.81661,0.98679,0.74524,0.4882,0.6286,0.32246,1.55649,1.3952,1.08707,0.0017822,0.0017822,0.0017822
13,350.728,1.39692,0.79259,0.98001,0.6981,0.57009,0.66597,0.34996,1.49443,1.1557,1.03793,0.0017624,0.0017624,0.0017624
14,377.442,1.37708,0.78443,0.97516,0.82526,0.75567,0.83524,0.44959,1.39177,0.93109,1.0054,0.0017426,0.0017426,0.0017426
15,404.372,1.36629,0.77118,0.96986,0.86434,0.72363,0.8334,0.44691,1.44894,0.93837,1.04243,0.0017228,0.0017228,0.0017228
16,431.16,1.35768,0.76617,0.96742,0.86316,0.74111,0.83518,0.43783,1.44151,0.80496,1.01475,0.001703,0.001703,0.001703
17,457.938,1.34041,0.75229,0.96463,0.83242,0.77303,0.85227,0.45629,1.41378,0.76493,1.01916,0.0016832,0.0016832,0.0016832
18,484.761,1.34625,0.75068,0.96396,0.8092,0.71295,0.79735,0.40946,1.46926,0.90943,1.03233,0.0016634,0.0016634,0.0016634
19,511.504,1.32476,0.73788,0.95772,0.85912,0.78165,0.86242,0.46463,1.43372,0.79229,1.00346,0.0016436,0.0016436,0.0016436
20,538.326,1.32508,0.73452,0.96037,0.8873,0.78772,0.87497,0.44325,1.49516,0.78963,1.01261,0.0016238,0.0016238,0.0016238
21,565.167,1.3185,0.71888,0.96096,0.83541,0.79289,0.85014,0.45188,1.44054,0.81535,1.0049,0.001604,0.001604,0.001604
22,591.876,1.30628,0.71472,0.95708,0.84459,0.7984,0.87673,0.47668,1.40424,0.74408,0.99719,0.0015842,0.0015842,0.0015842
23,618.692,1.29767,0.70855,0.95279,0.8945,0.79039,0.87894,0.48384,1.39714,0.7704,1.00164,0.0015644,0.0015644,0.0015644
24,645.43,1.29217,0.70046,0.95039,0.87595,0.78905,0.88081,0.4843,1.39546,0.76822,1.00128,0.0015446,0.0015446,0.0015446
25,672.212,1.28339,0.69585,0.94945,0.86066,0.73565,0.84721,0.45275,1.39837,0.88001,0.99556,0.0015248,0.0015248,0.0015248
26,699.01,1.28622,0.69474,0.94994,0.7906,0.66355,0.78733,0.41998,1.39928,0.89679,1.01088,0.001505,0.001505,0.001505
27,725.748,1.26757,0.67806,0.94599,0.89254,0.77971,0.87137,0.48352,1.39122,0.73489,0.99718,0.0014852,0.0014852,0.0014852
28,752.515,1.25817,0.67279,0.94397,0.88889,0.79973,0.88134,0.49708,1.36335,0.74517,1.00086,0.0014654,0.0014654,0.0014654
29,779.381,1.25987,0.666,0.94304,0.89531,0.79928,0.87968,0.49366,1.37417,0.71404,0.99714,0.0014456,0.0014456,0.0014456
30,806.109,1.2491,0.66665,0.93416,0.85944,0.80374,0.87498,0.49062,1.35401,0.71195,0.98746,0.0014258,0.0014258,0.0014258
31,832.847,1.24142,0.6605,0.93838,0.87835,0.79046,0.87771,0.49588,1.37593,0.71113,1.00052,0.001406,0.001406,0.001406
32,859.668,1.24865,0.66096,0.93662,0.86595,0.78487,0.86979,0.48486,1.36864,0.72833,0.98485,0.0013862,0.0013862,0.0013862
33,886.427,1.22976,0.65588,0.93365,0.83464,0.79517,0.86087,0.47297,1.37729,0.78483,0.99981,0.0013664,0.0013664,0.0013664
34,913.187,1.22861,0.65228,0.93241,0.88918,0.78199,0.87774,0.46959,1.36682,0.68833,0.9778,0.0013466,0.0013466,0.0013466
35,940.024,1.23114,0.64658,0.93556,0.86346,0.81976,0.87862,0.48787,1.33695,0.70212,0.98434,0.0013268,0.0013268,0.0013268
36,966.784,1.22406,0.64292,0.93217,0.82802,0.70227,0.81243,0.43806,1.38895,0.96067,1.00305,0.001307,0.001307,0.001307
37,993.615,1.21258,0.63833,0.92711,0.87269,0.81455,0.88954,0.50006,1.35025,0.72364,1.00072,0.0012872,0.0012872,0.0012872
38,1020.4,1.20922,0.62787,0.92635,0.89337,0.82771,0.89936,0.51223,1.30104,0.6834,0.96938,0.0012674,0.0012674,0.0012674
39,1047.17,1.20342,0.6327,0.93061,0.88483,0.83445,0.90621,0.51113,1.33125,0.66201,0.9749,0.0012476,0.0012476,0.0012476
40,1073.94,1.19039,0.61599,0.92495,0.86517,0.81709,0.88579,0.49902,1.36332,0.713,0.99437,0.0012278,0.0012278,0.0012278
41,1100.79,1.19969,0.61848,0.92177,0.90481,0.8251,0.90893,0.51209,1.31648,0.67055,0.97377,0.001208,0.001208,0.001208
42,1127.57,1.19378,0.61877,0.92108,0.86719,0.81948,0.89869,0.51003,1.31407,0.72388,0.97404,0.0011882,0.0011882,0.0011882
43,1154.4,1.18681,0.61388,0.92397,0.90582,0.8218,0.90135,0.51102,1.30794,0.68704,0.98129,0.0011684,0.0011684,0.0011684
44,1181.16,1.18905,0.61326,0.92336,0.89151,0.82282,0.89814,0.52157,1.32016,0.65423,0.9817,0.0011486,0.0011486,0.0011486
45,1207.98,1.18114,0.60977,0.92125,0.89752,0.82644,0.90291,0.51966,1.32343,0.66697,0.99686,0.0011288,0.0011288,0.0011288
46,1234.79,1.17158,0.60505,0.91478,0.88112,0.82644,0.89191,0.50745,1.35819,0.6553,0.99465,0.001109,0.001109,0.001109
47,1261.55,1.17499,0.60475,0.91915,0.88672,0.83606,0.90161,0.51372,1.31692,0.66129,0.98177,0.0010892,0.0010892,0.0010892
48,1288.31,1.17013,0.59725,0.91772,0.89066,0.83845,0.90561,0.5094,1.36663,0.67325,1.00829,0.0010694,0.0010694,0.0010694
49,1315.19,1.15878,0.59415,0.91367,0.89632,0.81948,0.89253,0.50943,1.35886,0.65929,0.99917,0.0010496,0.0010496,0.0010496
50,1341.91,1.15614,0.5906,0.91164,0.89667,0.81096,0.8855,0.50367,1.34571,0.67873,0.9909,0.0010298,0.0010298,0.0010298
51,1368.68,1.15332,0.58582,0.91005,0.88148,0.81976,0.89706,0.51186,1.32648,0.65372,0.97754,0.00101,0.00101,0.00101
52,1395.56,1.1489,0.58351,0.91315,0.88626,0.83226,0.90281,0.51582,1.30967,0.65183,0.97318,0.0009902,0.0009902,0.0009902
53,1422.31,1.15193,0.58487,0.9145,0.89089,0.81764,0.9011,0.52361,1.31489,0.63588,0.9816,0.0009704,0.0009704,0.0009704
54,1449.06,1.14607,0.58007,0.91265,0.89112,0.83048,0.90742,0.52331,1.32408,0.65726,0.96923,0.0009506,0.0009506,0.0009506
55,1475.88,1.14495,0.57864,0.9112,0.90177,0.83578,0.91497,0.52241,1.33011,0.66391,0.97739,0.0009308,0.0009308,0.0009308
56,1502.66,1.13409,0.5748,0.91209,0.89821,0.8478,0.90893,0.52743,1.34247,0.6714,0.99415,0.000911,0.000911,0.000911
57,1529.45,1.13869,0.57478,0.90776,0.90079,0.82644,0.90777,0.52668,1.29756,0.65854,0.97556,0.0008912,0.0008912,0.0008912
58,1556.24,1.12886,0.56989,0.91037,0.89453,0.83795,0.90968,0.52931,1.30904,0.66388,0.96956,0.0008714,0.0008714,0.0008714
59,1582.99,1.11999,0.5669,0.90585,0.88391,0.83712,0.90721,0.52578,1.31557,0.64734,0.98693,0.0008516,0.0008516,0.0008516
60,1609.73,1.11567,0.55699,0.90457,0.89183,0.85447,0.91177,0.528,1.31014,0.63924,0.97511,0.0008318,0.0008318,0.0008318
61,1636.55,1.11542,0.56127,0.90457,0.90348,0.83734,0.90561,0.52752,1.29856,0.63932,0.97861,0.000812,0.000812,0.000812
62,1663.24,1.09772,0.55417,0.90277,0.89412,0.85047,0.90853,0.52998,1.31892,0.61977,0.99993,0.0007922,0.0007922,0.0007922
63,1690.02,1.10839,0.55517,0.90288,0.92927,0.81308,0.91076,0.53427,1.29873,0.63425,0.98513,0.0007724,0.0007724,0.0007724
64,1716.87,1.09324,0.54917,0.89839,0.9092,0.82885,0.90788,0.54014,1.28774,0.62283,0.98801,0.0007526,0.0007526,0.0007526
65,1743.65,1.10113,0.55303,0.90128,0.90552,0.83578,0.91039,0.52191,1.31994,0.64188,0.9783,0.0007328,0.0007328,0.0007328
66,1770.38,1.09926,0.55605,0.89918,0.8943,0.83591,0.90885,0.52862,1.3161,0.64991,0.98663,0.000713,0.000713,0.000713
67,1797.26,1.08589,0.54604,0.89492,0.89154,0.85606,0.92128,0.53631,1.30741,0.627,0.97401,0.0006932,0.0006932,0.0006932
68,1824,1.08854,0.54427,0.89934,0.90583,0.83476,0.90717,0.52862,1.31651,0.62931,0.97447,0.0006734,0.0006734,0.0006734
69,1850.85,1.09184,0.54501,0.89817,0.9146,0.8251,0.90975,0.5304,1.31495,0.63539,0.96807,0.0006536,0.0006536,0.0006536
70,1877.6,1.07954,0.54144,0.89694,0.89919,0.8336,0.90971,0.53449,1.2974,0.62804,0.96439,0.0006338,0.0006338,0.0006338
71,1904.38,1.08719,0.53949,0.89366,0.91321,0.82882,0.90775,0.5338,1.29411,0.63081,0.96266,0.000614,0.000614,0.000614
72,1931.22,1.07803,0.53854,0.89588,0.90445,0.84112,0.9173,0.53159,1.31652,0.62304,0.98715,0.0005942,0.0005942,0.0005942
73,1957.98,1.07079,0.53159,0.89897,0.89707,0.84379,0.9135,0.53982,1.30237,0.62922,0.97595,0.0005744,0.0005744,0.0005744
74,1984.75,1.07432,0.53125,0.8907,0.89828,0.83979,0.91059,0.53587,1.29022,0.61924,0.97254,0.0005546,0.0005546,0.0005546
75,2011.62,1.0722,0.52982,0.89014,0.89652,0.84112,0.91368,0.535,1.31752,0.62097,0.99254,0.0005348,0.0005348,0.0005348
76,2038.38,1.0762,0.53264,0.89218,0.92106,0.82567,0.91384,0.53448,1.31492,0.61628,0.96747,0.000515,0.000515,0.000515
77,2065.14,1.06181,0.52128,0.88818,0.89392,0.84383,0.90721,0.534,1.31187,0.623,0.97704,0.0004952,0.0004952,0.0004952
