epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.99556,1.4687,3.32176,0.98378,0.0045,0.75354,0.4168,0.27516,1.33653,7.17106,0.87013,0.000659933,0.000659933,0.000659933
2,15.2698,1.43483,2.01444,0.97517,0.79277,0.63941,0.68931,0.38427,1.27162,1.78104,0.82436,0.00131347,0.00131347,0.00131347
3,22.49,1.4229,1.47782,0.99226,0.7938,0.52691,0.57334,0.33033,1.19357,0.99862,0.85093,0.0019538,0.0019538,0.0019538
4,29.6062,1.41825,1.19164,1.00577,0.79743,0.62606,0.68456,0.36955,1.51293,1.0633,0.90984,0.0019406,0.0019406,0.0019406
5,36.7387,1.36222,1.01873,0.99423,0.84972,0.68272,0.73174,0.40581,1.32634,1.33946,0.85791,0.0019208,0.0019208,0.0019208
6,43.8739,1.29603,0.91817,0.96765,0.84456,0.68555,0.74383,0.43521,1.32394,1.67732,0.85253,0.001901,0.001901,0.001901
7,50.99,1.30943,0.89831,0.96686,0.89421,0.67045,0.74792,0.41773,1.13034,0.68549,0.81078,0.0018812,0.0018812,0.0018812
8,58.2048,1.25737,0.81386,0.95127,0.83908,0.70538,0.76313,0.47418,1.04072,0.61582,0.79925,0.0018614,0.0018614,0.0018614
9,65.3314,1.25941,0.79715,0.96843,0.89319,0.72238,0.78955,0.4698,1.12089,0.76705,0.80746,0.0018416,0.0018416,0.0018416
10,72.4841,1.25141,0.78714,0.94746,0.83766,0.72238,0.76261,0.43828,1.1481,0.74556,0.81455,0.0018218,0.0018218,0.0018218
11,79.5979,1.23318,0.77393,0.94125,0.84789,0.73371,0.79514,0.49794,1.01359,0.73333,0.78622,0.001802,0.001802,0.001802
12,86.7061,1.24362,0.78361,0.95066,0.8792,0.68555,0.78348,0.47488,1.13605,0.70814,0.80461,0.0017822,0.0017822,0.0017822
13,93.8505,1.21327,0.73924,0.94394,0.86346,0.73452,0.79272,0.49396,1.01363,0.64925,0.7865,0.0017624,0.0017624,0.0017624
14,100.946,1.21222,0.7376,0.95594,0.90808,0.76204,0.81208,0.49938,1.13597,0.7112,0.8092,0.0017426,0.0017426,0.0017426
15,108.09,1.18034,0.70757,0.94952,0.88154,0.71955,0.80969,0.50496,0.97322,0.60395,0.78559,0.0017228,0.0017228,0.0017228
16,115.189,1.19105,0.71825,0.93454,0.89911,0.75737,0.82656,0.49759,0.95279,0.63609,0.77567,0.001703,0.001703,0.001703
17,122.295,1.19129,0.70172,0.94623,0.9379,0.69972,0.82991,0.54364,0.94195,0.55009,0.77445,0.0016832,0.0016832,0.0016832
18,129.427,1.19802,0.7052,0.92604,0.90545,0.73371,0.82186,0.51096,0.98702,0.56949,0.77313,0.0016634,0.0016634,0.0016634
19,136.538,1.17254,0.67816,0.92448,0.90428,0.75921,0.8365,0.51153,1.07934,0.6715,0.79943,0.0016436,0.0016436,0.0016436
20,143.7,1.16489,0.66313,0.92439,0.89463,0.76968,0.83069,0.53567,1.09644,0.74209,0.7982,0.0016238,0.0016238,0.0016238
21,150.803,1.13765,0.66491,0.92698,0.90411,0.74788,0.82892,0.51394,0.91031,0.54002,0.76085,0.001604,0.001604,0.001604
