epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.807,1.8722,2.55864,1.19666,0.70362,0.43072,0.4868,0.2703,1.54474,1.42749,1.1098,9.2426e-05,9.2426e-05,9.2426e-05
2,204.307,1.42604,1.04422,1.00767,0.73101,0.53393,0.59202,0.33302,1.45253,0.96856,1.05141,0.00018326,0.00018326,0.00018326
3,305.276,1.34459,0.84863,0.9759,0.72562,0.64856,0.66192,0.36991,1.50084,0.91719,1.06309,0.00027226,0.00027226,0.00027226
4,406.13,1.29964,0.78375,0.96344,0.69481,0.65143,0.67323,0.39595,1.40183,0.91716,1.03153,0.000269743,0.000269743,0.000269743
5,506.932,1.24599,0.70313,0.94231,0.69305,0.77562,0.76176,0.46719,1.31439,0.76744,0.97556,0.000266991,0.000266991,0.000266991
6,607.805,1.22113,0.67964,0.93291,0.83513,0.73215,0.78926,0.45782,1.33944,0.72762,1.01115,0.000264239,0.000264239,0.000264239
7,708.491,1.19246,0.64944,0.92737,0.85073,0.69964,0.78421,0.43969,1.37249,0.74593,1.01236,0.000261487,0.000261487,0.000261487
8,809.462,1.17503,0.63433,0.92331,0.84714,0.69084,0.79486,0.4585,1.32141,0.75635,0.98619,0.000258735,0.000258735,0.000258735
9,910.269,1.15019,0.62337,0.91732,0.86986,0.65807,0.79682,0.47589,1.32801,0.98076,0.98261,0.000255982,0.000255982,0.000255982
10,1010.99,1.13865,0.60455,0.91743,0.82678,0.7402,0.82034,0.47279,1.33365,0.7361,0.99714,0.00025323,0.00025323,0.00025323
11,1111.7,1.12348,0.5884,0.90705,0.71579,0.7393,0.79966,0.45475,1.36696,0.6937,1.01137,0.000250478,0.000250478,0.000250478
12,1212.35,1.11468,0.58342,0.90581,0.76109,0.74614,0.80716,0.48527,1.28131,0.659,0.97102,0.000247726,0.000247726,0.000247726
13,1313.04,1.10776,0.57321,0.90429,0.69464,0.77112,0.79256,0.46703,1.35918,0.71452,0.99702,0.000244974,0.000244974,0.000244974
14,1413.76,1.07914,0.55635,0.89699,0.80687,0.66408,0.76946,0.45974,1.32982,0.71281,0.99004,0.000242221,0.000242221,0.000242221
15,1514.43,1.07219,0.55094,0.89321,0.7475,0.80016,0.81157,0.4931,1.31154,0.66649,0.98031,0.000239469,0.000239469,0.000239469
16,1615.16,1.06515,0.5435,0.89275,0.7488,0.79391,0.81093,0.49613,1.30191,0.64962,0.99049,0.000236717,0.000236717,0.000236717
17,1715.87,1.05232,0.54175,0.88884,0.84418,0.74097,0.7818,0.44025,1.37928,0.67834,0.99999,0.000233965,0.000233965,0.000233965
18,1816.59,1.05656,0.53991,0.88963,0.83592,0.74671,0.78126,0.47131,1.29944,0.72746,1.00074,0.000231213,0.000231213,0.000231213
19,1917.36,1.0316,0.5221,0.88302,0.86646,0.72579,0.80301,0.47106,1.31781,0.73521,0.99505,0.00022846,0.00022846,0.00022846
20,2018,1.02853,0.52496,0.88547,0.87686,0.76978,0.85302,0.49041,1.29135,0.6517,0.99452,0.000225708,0.000225708,0.000225708
21,2118.8,1.01636,0.51714,0.8874,0.8716,0.70506,0.78321,0.47136,1.39413,0.68647,1.00987,0.000222956,0.000222956,0.000222956
22,2219.4,1.01144,0.51042,0.87939,0.92818,0.7462,0.85082,0.52405,1.29225,0.64614,0.99557,0.000220204,0.000220204,0.000220204
23,2320.42,1.00475,0.50201,0.87942,0.87709,0.76217,0.82989,0.50093,1.28649,0.68174,0.99106,0.000217452,0.000217452,0.000217452
24,2421.09,0.9988,0.50135,0.87826,0.74519,0.80908,0.82616,0.49119,1.31634,0.66056,0.97928,0.000214699,0.000214699,0.000214699
25,2521.74,1.00104,0.49874,0.87892,0.878,0.74202,0.8344,0.50523,1.26972,0.61306,0.98554,0.000211947,0.000211947,0.000211947
26,2622.73,0.98867,0.49137,0.876,0.87758,0.79433,0.84954,0.49744,1.26695,0.64092,0.9724,0.000209195,0.000209195,0.000209195
27,2723.4,0.97811,0.48574,0.87517,0.78445,0.79594,0.84122,0.50799,1.2911,0.66955,0.99495,0.000206443,0.000206443,0.000206443
28,2824.09,0.96962,0.47903,0.87457,0.92536,0.78682,0.86908,0.52098,1.29882,0.60723,0.98634,0.000203691,0.000203691,0.000203691
29,2924.73,0.96288,0.47641,0.86986,0.69621,0.80842,0.80743,0.4971,1.28116,0.62384,0.99648,0.000200938,0.000200938,0.000200938
30,3025.45,0.95099,0.4683,0.86562,0.86834,0.79659,0.85407,0.50467,1.28401,0.6417,0.983,0.000198186,0.000198186,0.000198186
