epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.02171,1.539,6.58887,0.93989,0.02106,0.23756,0.04294,0.02895,1.26541,3.51332,0.73586,0.000131987,0.000131987,0.000131987
2,15.3141,1.50903,5.28322,0.89549,0.33269,0.17004,0.12912,0.08427,1.44548,2.35686,0.77787,0.000262693,0.000262693,0.000262693
3,22.4953,1.45844,4.26749,0.89874,0.57507,0.23416,0.21846,0.13206,1.31386,1.70849,0.7713,0.00039076,0.00039076,0.00039076
4,29.6825,1.36683,3.44412,0.90941,0.47459,0.26691,0.26975,0.17596,1.19432,1.58713,0.76087,0.00038812,0.00038812,0.00038812
5,36.8377,1.30314,2.88094,0.90935,0.3752,0.26225,0.28336,0.18926,1.20028,1.5031,0.76106,0.00038416,0.00038416,0.00038416
6,43.9651,1.25157,2.47005,0.90412,0.49274,0.25726,0.31157,0.20469,1.17799,1.38917,0.75914,0.0003802,0.0003802,0.0003802
7,51.152,1.25992,2.41281,0.89394,0.53478,0.33002,0.36391,0.24078,1.08218,1.16491,0.74412,0.00037624,0.00037624,0.00037624
8,58.313,1.19484,2.06858,0.88615,0.47847,0.39451,0.40885,0.2796,1.10263,1.22263,0.75047,0.00037228,0.00037228,0.00037228
9,65.4807,1.20213,1.95513,0.89898,0.63158,0.34641,0.43647,0.29098,1.10326,1.06949,0.75152,0.00036832,0.00036832,0.00036832
10,72.6242,1.17281,1.78362,0.88706,0.72656,0.35919,0.44281,0.28503,1.13742,1.15295,0.75209,0.00036436,0.00036436,0.00036436
11,79.8119,1.14812,1.66659,0.88489,0.52287,0.53688,0.50696,0.32826,1.08359,1.08594,0.74503,0.0003604,0.0003604,0.0003604
12,86.994,1.13507,1.57646,0.88963,0.49969,0.52359,0.5212,0.34473,1.15127,1.30969,0.75602,0.00035644,0.00035644,0.00035644
13,94.1978,1.13018,1.43621,0.88501,0.52869,0.51049,0.52246,0.34155,1.14073,1.1513,0.75152,0.00035248,0.00035248,0.00035248
14,101.365,1.14221,1.42224,0.89572,0.58209,0.47705,0.52452,0.34715,1.02351,1.05744,0.73566,0.00034852,0.00034852,0.00034852
15,108.56,1.13077,1.30522,0.89133,0.63163,0.55482,0.58214,0.39472,0.89502,0.87188,0.72532,0.00034456,0.00034456,0.00034456
